The aproximation to X vector with 25 iterations is
x0 =  0.07686995686205479
x1 =  0.07313271768356673
x2 =  0.07949074308711812
x3 =  0.07159408409993975
x4 =  0.08475712278206782
x5 =  0.08143424260936699
x6 =  0.07584430629522547
x7 =  0.061438392005429096
x8 =  0.07667200072574903
x9 =  0.0028544693294257698


The best aproximation you can get of vector 'b' is
b0 =  0.9999999191852873
b1 =  0.9999998862202695
b2 =  0.9999998844730665
b3 =  0.9999999020617026
b4 =  0.9999999346709127
b5 =  0.9999999481529965
b6 =  0.9999999418829528
b7 =  0.9999999508343547
b8 =  0.9999999481227219
b9 =  0.9999998520424914
+-----------+---------------------+---------------------+----------------------+---------------------+---------------------+---------------------+---------------------+----------------------+---------------------+------------------------+---------------+
| Iteration |          x0         |          x1         |          x2          |          x3         |          x4         |          x5         |          x6         |          x7          |          x8         |           x9           |     Error     |
+-----------+---------------------+---------------------+----------------------+---------------------+---------------------+---------------------+---------------------+----------------------+---------------------+------------------------+---------------+
|     0     |          0          |          0          |          0           |          0          |          0          |          0          |          0          |          0           |          0          |           0            | Doesn't exist |
|     1     | 0.15280172884241772 |   0.1354148507775   |  0.1432615931433566  | 0.10345420803459336 | 0.12238996068201287 | 0.09565474215022834 | 0.10184205472694464 | 0.06464432607204827  |  0.0904260583532879 |  -0.05601204954969332  |    3.51E-01   |
|     2     | 0.03381407310556758 | 0.04052185543378964 | 0.053753240366171115 | 0.06674552495828809 | 0.07581940677818784 | 0.08874096447235541 | 0.07357394610346932 | 0.07337781718511455  | 0.08294098075580386 |  0.05873182582514757   |    2.21E-01   |
|     3     | 0.09242341750337069 | 0.08208997143836967 |  0.0819195836969801  | 0.06667120233043683 | 0.08261978405047254 | 0.07290211298765897 | 0.07113148116522569 | 0.05130703425508726  |  0.0681217251949104 |  -0.03025716129091919  |    1.22E-01   |
|     4     | 0.07554714275465194 | 0.07549641885236333 | 0.08491902555766673  | 0.07682770620110846 | 0.08865071737626604 | 0.08590433379914883 | 0.08029065933341695 | 0.06647124827891361  | 0.08228603938722157 |  0.016285167040733774  |    5.77E-02   |
|     5     | 0.07370784673413153 | 0.06822452540218268 | 0.07418322259668864  | 0.06878374021029038 |  0.0822052870124444 | 0.08031932202421385 | 0.07338821015508677 | 0.060001041080544444 | 0.07410168967460211 | 0.00029535031695630126 |    2.69E-02   |
|     6     | 0.07992130808218109 | 0.07680599908632524 | 0.08247762122640716  |  0.0723701121394714 | 0.08579806442252452 | 0.08102051790221867 | 0.07673732431009495 | 0.06129498348894345  | 0.07741950933002215 | 0.0014354645882221628  |    1.52E-02   |
|     7     | 0.07514221731694906 | 0.07131626380458872 | 0.07842920364602173  | 0.07179300066670594 | 0.08458575440353142 |  0.0821385465861889 | 0.07572527240155238 | 0.061928313664208846 | 0.07668536789674775 |  0.004727579669824192  |    9.23E-03   |
|     8     | 0.07750666496127949 | 0.07367780028937819 | 0.07956865064979614  | 0.07117439972374326 | 0.08461832175423238 | 0.08093466304861476 | 0.07572632638301992 | 0.06107945962213382  | 0.07648170894702129 | 0.0016616684612415084  |    4.95E-03   |
|     9     | 0.07679665244638145 | 0.07316607567810224 | 0.07971408103463251  | 0.07191121446767539 | 0.08491898452222518 | 0.08167002327754215 | 0.07596162998260171 | 0.06160003532826527  | 0.07681994335370138 |  0.003355164502736152  |    2.30E-03   |
|     10    | 0.07676231435533687 | 0.07295516769099719 | 0.07928199541840908  | 0.07143382987217772 | 0.08465955009444291 | 0.08136924897562921 |  0.0757850109206396 | 0.06140287895951245  | 0.07660139776294934 |  0.002752286432965878  |    1.05E-03   |
|     11    | 0.07697886315725966 | 0.07327464777619613 | 0.07960558450923622  | 0.07164576137897966 |  0.0847950084301464 | 0.08142567153006733 | 0.07585890433199935 | 0.061423396089138375 | 0.07669117905394125 |  0.002807497290588934  |    5.81E-04   |
|     12    | 0.07680808682601716 | 0.07306037216085437 | 0.07945076919995785  |  0.0715930120129095 | 0.08475171038916621 | 0.08145888633703384 |  0.0758496066223072 | 0.06146087641553272  | 0.07667463853644871 |  0.002920221405765297  |    3.45E-04   |
